ID,Tax,Year,KO,LogFC,Contrast
Diatom-K03564,Diatom,2018,K03564,-1.636702835,day9
Diatom-K03627,Diatom,2018,K03627,-1.416068104,day9
Diatom-K03671,Diatom,2018,K03671,-0.709225514,day9
Diatom-K03681,Diatom,2018,K03681,6.979144503,day9
Diatom-K03687,Diatom,2018,K03687,-1.073665963,day9
Diatom-K03695,Diatom,2018,K03695,-1.093559397,day9
Diatom-K03723,Diatom,2018,K03723,6.354468378,day9
Diatom-K03737,Diatom,2018,K03737,4.231735964,day9
Diatom-K03798,Diatom,2018,K03798,-0.763618102,day9
Diatom-K03839,Diatom,2018,K03839,-1.934110112,day9
Diatom-K03939,Diatom,2018,K03939,-4.384122939,day9
Diatom-K03969,Diatom,2018,K03969,-1.558389283,day9
Diatom-K03978,Diatom,2018,K03978,1.23962981,day9
Diatom-K04040,Diatom,2018,K04040,-1.321914874,day9
Diatom-K04077,Diatom,2018,K04077,-0.880938914,day9
Diatom-K04079,Diatom,2018,K04079,3.626504915,day9
Diatom-K04345,Diatom,2018,K04345,5.5304419,day9
Diatom-K04382,Diatom,2018,K04382,-1.916759442,day9
Diatom-K04564,Diatom,2018,K04564,-1.567326751,day9
Diatom-K04565,Diatom,2018,K04565,-5.854317034,day9
Diatom-K04712,Diatom,2018,K04712,-1.46961435,day9
Diatom-K05034,Diatom,2018,K05034,0.924881528,day9
Diatom-K05643,Diatom,2018,K05643,1.960519414,day9
Diatom-K05656,Diatom,2018,K05656,-3.355114997,day9
Diatom-K05658,Diatom,2018,K05658,-0.657746736,day9
Diatom-K05765,Diatom,2018,K05765,-1.424301956,day9
Diatom-K05850,Diatom,2018,K05850,-0.927901061,day9
Diatom-K05863,Diatom,2018,K05863,-1.285656851,day9
Diatom-K05868,Diatom,2018,K05868,-2.761722898,day9
Diatom-K05989,Diatom,2018,K05989,-3.030448651,day9
Diatom-K06095,Diatom,2018,K06095,-1.222300452,day9
Diatom-K06118,Diatom,2018,K06118,-0.810634379,day9
Diatom-K06158,Diatom,2018,K06158,5.742093685,day9
Diatom-K06207,Diatom,2018,K06207,-1.470016403,day9
Diatom-K06252,Diatom,2018,K06252,-1.820606589,day9
Diatom-K06670,Diatom,2018,K06670,-1.887539915,day9
Diatom-K06675,Diatom,2018,K06675,-2.905598174,day9
Diatom-K06696,Diatom,2018,K06696,1.007870811,day9
Diatom-K06891,Diatom,2018,K06891,-0.939443895,day9
Diatom-K07178,Diatom,2018,K07178,-2.106551661,day9
Diatom-K07432,Diatom,2018,K07432,6.568805644,day9
Diatom-K07508,Diatom,2018,K07508,1.647708686,day9
Diatom-K07509,Diatom,2018,K07509,1.528986081,day9
Diatom-K07511,Diatom,2018,K07511,2.549448796,day9
Diatom-K07515,Diatom,2018,K07515,-0.066999506,day9
Diatom-K07904,Diatom,2018,K07904,5.007027714,day9
Diatom-K08490,Diatom,2018,K08490,-1.544799075,day9
Diatom-K08794,Diatom,2018,K08794,0.844792629,day9
Diatom-K08902,Diatom,2018,K08902,-0.931332297,day9
Diatom-K08907,Diatom,2018,K08907,-2.067039153,day9
Diatom-K08910,Diatom,2018,K08910,0.553865337,day9
Diatom-K09486,Diatom,2018,K09486,-1.524538129,day9
Diatom-K09487,Diatom,2018,K09487,-1.54066495,day9
Diatom-K09490,Diatom,2018,K09490,-2.075815195,day9
Diatom-K09523,Diatom,2018,K09523,-1.53553607,day9
Diatom-K09540,Diatom,2018,K09540,-1.405194604,day9
Diatom-K09595,Diatom,2018,K09595,3.471045232,day9
Diatom-K09838,Diatom,2018,K09838,-0.981485656,day9
Diatom-K09839,Diatom,2018,K09839,-0.791890489,day9
Diatom-K09864,Diatom,2018,K09864,1.415040707,day9
Diatom-K10352,Diatom,2018,K10352,1.291250448,day9
Diatom-K10695,Diatom,2018,K10695,6.656926887,day9
Diatom-K10839,Diatom,2018,K10839,-1.384116726,day9
Diatom-K10960,Diatom,2018,K10960,-1.320566281,day9
Diatom-K11000,Diatom,2018,K11000,-0.655093577,day9
Diatom-K11204,Diatom,2018,K11204,-0.791625402,day9
Diatom-K11251,Diatom,2018,K11251,-2.707005131,day9
Diatom-K11295,Diatom,2018,K11295,2.253360588,day9
Diatom-K11462,Diatom,2018,K11462,7.563259683,day9
Diatom-K11519,Diatom,2018,K11519,-2.095524755,day9
Diatom-K11599,Diatom,2018,K11599,-1.653805456,day9
Diatom-K11607,Diatom,2018,K11607,3.163859852,day9
Diatom-K11840,Diatom,2018,K11840,-2.100759573,day9
Diatom-K11886,Diatom,2018,K11886,-3.793516365,day9
Diatom-K11982,Diatom,2018,K11982,5.928529032,day9
Diatom-K12169,Diatom,2018,K12169,4.184249199,day9
Diatom-K12304,Diatom,2018,K12304,-0.954456181,day9
Diatom-K12418,Diatom,2018,K12418,-1.014589677,day9
Diatom-K12572,Diatom,2018,K12572,1.730378313,day9
Diatom-K12613,Diatom,2018,K12613,5.788031099,day9
Diatom-K12816,Diatom,2018,K12816,2.077907703,day9
Diatom-K12873,Diatom,2018,K12873,-0.280168124,day9
Diatom-K13126,Diatom,2018,K13126,0.704615283,day9
Diatom-K13412,Diatom,2018,K13412,0.9811662,day9
Diatom-K13525,Diatom,2018,K13525,-1.744216402,day9
Diatom-K13606,Diatom,2018,K13606,-2.271393578,day9
Diatom-K13755,Diatom,2018,K13755,-1.18932733,day9
Diatom-K13789,Diatom,2018,K13789,-1.0167499,day9
Diatom-K13858,Diatom,2018,K13858,2.488219379,day9
Diatom-K13993,Diatom,2018,K13993,-2.093591133,day9
Diatom-K14296,Diatom,2018,K14296,2.618929328,day9
Diatom-K14402,Diatom,2018,K14402,2.912060872,day9
Diatom-K14437,Diatom,2018,K14437,-3.596118832,day9
Diatom-K14457,Diatom,2018,K14457,5.886334224,day9
Diatom-K14650,Diatom,2018,K14650,-3.365229926,day9
Diatom-K14683,Diatom,2018,K14683,1.747799056,day9
Diatom-K14684,Diatom,2018,K14684,-2.940841899,day9
Diatom-K14997,Diatom,2018,K14997,1.874916684,day9
Diatom-K15040,Diatom,2018,K15040,1.523195496,day9
Diatom-K15102,Diatom,2018,K15102,-0.791804956,day9
Diatom-K15106,Diatom,2018,K15106,-0.665301609,day9
Diatom-K15272,Diatom,2018,K15272,-1.35299941,day9
Diatom-K15275,Diatom,2018,K15275,-1.289235139,day9
Diatom-K15283,Diatom,2018,K15283,-0.562063531,day9
Diatom-K16194,Diatom,2018,K16194,6.853262949,day9
Diatom-K16449,Diatom,2018,K16449,-2.975411513,day9
Diatom-K17086,Diatom,2018,K17086,0.687692686,day9
Diatom-K18670,Diatom,2018,K18670,2.73535796,day9
Diatom-K19015,Diatom,2018,K19015,5.776511373,day9
Diatom-K19801,Diatom,2018,K19801,-0.800594791,day9
Diatom-K19941,Diatom,2018,K19941,3.421198174,day9
Diatom-K20115,Diatom,2018,K20115,4.386747492,day9
Diatom-K20292,Diatom,2018,K20292,-1.82111982,day9
Diatom-K20370,Diatom,2018,K20370,5.281036126,day9
Diatom-K21480,Diatom,2018,K21480,-1.753311054,day9
Diatom-K21737,Diatom,2018,K21737,-0.735932685,day9
Dinoflagellate-K00264,Dinoflagellate,2019,K00264,6.20714981,day4
Dinoflagellate-K00760,Dinoflagellate,2019,K00760,-4.9157828,day4
Dinoflagellate-K00860,Dinoflagellate,2019,K00860,5.38442461,day4
Dinoflagellate-K00939,Dinoflagellate,2019,K00939,5.43344901,day4
Dinoflagellate-K01476,Dinoflagellate,2019,K01476,5.93204499,day4
Dinoflagellate-K01811,Dinoflagellate,2019,K01811,-2.4984557,day4
Dinoflagellate-K01951,Dinoflagellate,2019,K01951,6.48166674,day4
Dinoflagellate-K02150,Dinoflagellate,2019,K02150,4.85919361,day4
Dinoflagellate-K02151,Dinoflagellate,2019,K02151,3.63015834,day4
Dinoflagellate-K02537,Dinoflagellate,2019,K02537,-3.2392044,day4
Dinoflagellate-K02694,Dinoflagellate,2019,K02694,7.80720042,day4
Dinoflagellate-K02872,Dinoflagellate,2019,K02872,2.24999684,day4
Dinoflagellate-K02873,Dinoflagellate,2019,K02873,2.02835723,day4
Dinoflagellate-K02880,Dinoflagellate,2019,K02880,3.22815617,day4
Dinoflagellate-K02889,Dinoflagellate,2019,K02889,1.35176478,day4
Dinoflagellate-K02915,Dinoflagellate,2019,K02915,5.71440855,day4
Dinoflagellate-K02917,Dinoflagellate,2019,K02917,2.9323274,day4
Dinoflagellate-K02950,Dinoflagellate,2019,K02950,8.66032593,day4
Dinoflagellate-K02951,Dinoflagellate,2019,K02951,3.69897863,day4
Dinoflagellate-K02958,Dinoflagellate,2019,K02958,1.72997635,day4
Dinoflagellate-K02976,Dinoflagellate,2019,K02976,8.00713436,day4
Dinoflagellate-K03163,Dinoflagellate,2019,K03163,5.32961408,day4
Dinoflagellate-K03247,Dinoflagellate,2019,K03247,3.12087033,day4
Dinoflagellate-K03363,Dinoflagellate,2019,K03363,6.3335849,day4
Dinoflagellate-K03872,Dinoflagellate,2019,K03872,8.66984826,day4
Dinoflagellate-K04739,Dinoflagellate,2019,K04739,8.24958441,day4
Dinoflagellate-K05658,Dinoflagellate,2019,K05658,-1.2428838,day4
Dinoflagellate-K06188,Dinoflagellate,2019,K06188,1.97791908,day4
Dinoflagellate-K07827,Dinoflagellate,2019,K07827,8.38243311,day4
Dinoflagellate-K08857,Dinoflagellate,2019,K08857,6.11851208,day4
Dinoflagellate-K09673,Dinoflagellate,2019,K09673,-5.2436235,day4
Dinoflagellate-K10405,Dinoflagellate,2019,K10405,-0.8541436,day4
Dinoflagellate-K10756,Dinoflagellate,2019,K10756,-1.6296983,day4
Dinoflagellate-K10840,Dinoflagellate,2019,K10840,1.65017414,day4
Dinoflagellate-K11204,Dinoflagellate,2019,K11204,2.40145191,day4
Dinoflagellate-K11262,Dinoflagellate,2019,K11262,-6.5430101,day4
Dinoflagellate-K11835,Dinoflagellate,2019,K11835,-4.8209522,day4
Dinoflagellate-K17609,Dinoflagellate,2019,K17609,2.10636914,day4
Dinoflagellate-K18183,Dinoflagellate,2019,K18183,8.12144026,day4
Dinoflagellate-K20290,Dinoflagellate,2019,K20290,11.6185148,day4
Dinoflagellate-K00138,Dinoflagellate,2019,K00138,3.46004709,day12
Dinoflagellate-K00641,Dinoflagellate,2019,K00641,8.3354727,day12
Dinoflagellate-K00788,Dinoflagellate,2019,K00788,6.80299616,day12
Dinoflagellate-K00803,Dinoflagellate,2019,K00803,4.29386231,day12
Dinoflagellate-K00850,Dinoflagellate,2019,K00850,-5.9109581,day12
Dinoflagellate-K01074,Dinoflagellate,2019,K01074,1.70410499,day12
Dinoflagellate-K01201,Dinoflagellate,2019,K01201,7.64452868,day12
Dinoflagellate-K01278,Dinoflagellate,2019,K01278,5.01567027,day12
Dinoflagellate-K01476,Dinoflagellate,2019,K01476,10.1678903,day12
Dinoflagellate-K01673,Dinoflagellate,2019,K01673,-7.1153519,day12
Dinoflagellate-K01811,Dinoflagellate,2019,K01811,-4.0437327,day12
Dinoflagellate-K02445,Dinoflagellate,2019,K02445,8.62370535,day12
Dinoflagellate-K02575,Dinoflagellate,2019,K02575,-2.0636126,day12
Dinoflagellate-K02882,Dinoflagellate,2019,K02882,5.89998924,day12
Dinoflagellate-K02889,Dinoflagellate,2019,K02889,-3.5012592,day12
Dinoflagellate-K02893,Dinoflagellate,2019,K02893,-3.5662547,day12
Dinoflagellate-K02905,Dinoflagellate,2019,K02905,4.32269444,day12
Dinoflagellate-K02958,Dinoflagellate,2019,K02958,-8.7676858,day12
Dinoflagellate-K02974,Dinoflagellate,2019,K02974,5.71198244,day12
Dinoflagellate-K02981,Dinoflagellate,2019,K02981,3.58448617,day12
Dinoflagellate-K03247,Dinoflagellate,2019,K03247,6.01842347,day12
Dinoflagellate-K03852,Dinoflagellate,2019,K03852,4.18114548,day12
Dinoflagellate-K03872,Dinoflagellate,2019,K03872,9.01196709,day12
Dinoflagellate-K04460,Dinoflagellate,2019,K04460,8.5241367,day12
Dinoflagellate-K05658,Dinoflagellate,2019,K05658,-3.858785,day12
Dinoflagellate-K06564,Dinoflagellate,2019,K06564,7.86460977,day12
Dinoflagellate-K07342,Dinoflagellate,2019,K07342,4.9569415,day12
Dinoflagellate-K07827,Dinoflagellate,2019,K07827,5.69215138,day12
Dinoflagellate-K08910,Dinoflagellate,2019,K08910,5.89769774,day12
Dinoflagellate-K09481,Dinoflagellate,2019,K09481,6.02582881,day12
Dinoflagellate-K09503,Dinoflagellate,2019,K09503,3.10448961,day12
Dinoflagellate-K09568,Dinoflagellate,2019,K09568,8.30060584,day12
Dinoflagellate-K09584,Dinoflagellate,2019,K09584,5.45574278,day12
Dinoflagellate-K09673,Dinoflagellate,2019,K09673,-7.9990335,day12
Dinoflagellate-K09946,Dinoflagellate,2019,K09946,5.54387509,day12
Dinoflagellate-K10046,Dinoflagellate,2019,K10046,1.9638666,day12
Dinoflagellate-K10352,Dinoflagellate,2019,K10352,7.91027072,day12
Dinoflagellate-K10523,Dinoflagellate,2019,K10523,8.49425909,day12
Dinoflagellate-K10597,Dinoflagellate,2019,K10597,9.32680683,day12
Dinoflagellate-K10683,Dinoflagellate,2019,K10683,3.66257137,day12
Dinoflagellate-K10767,Dinoflagellate,2019,K10767,8.5054445,day12
Dinoflagellate-K10840,Dinoflagellate,2019,K10840,-8.1653848,day12
Dinoflagellate-K10881,Dinoflagellate,2019,K10881,8.12249178,day12
Dinoflagellate-K11204,Dinoflagellate,2019,K11204,5.24579561,day12
Dinoflagellate-K11479,Dinoflagellate,2019,K11479,9.41513275,day12
Dinoflagellate-K11529,Dinoflagellate,2019,K11529,3.82434683,day12
Dinoflagellate-K11835,Dinoflagellate,2019,K11835,-5.5649994,day12
Dinoflagellate-K12572,Dinoflagellate,2019,K12572,6.62995917,day12
Dinoflagellate-K13412,Dinoflagellate,2019,K13412,3.3561973,day12
Dinoflagellate-K13524,Dinoflagellate,2019,K13524,4.81560666,day12
Dinoflagellate-K13717,Dinoflagellate,2019,K13717,3.28126678,day12
Dinoflagellate-K14685,Dinoflagellate,2019,K14685,-3.6062812,day12
Dinoflagellate-K15276,Dinoflagellate,2019,K15276,-0.5937201,day12
Dinoflagellate-K15372,Dinoflagellate,2019,K15372,4.67161447,day12
Dinoflagellate-K15449,Dinoflagellate,2019,K15449,-0.6653186,day12
Dinoflagellate-K17508,Dinoflagellate,2019,K17508,-4.3674482,day12
Dinoflagellate-K20471,Dinoflagellate,2019,K20471,8.6031277,day12
Dinoflagellate-K00101,Dinoflagellate,2019,K00101,7.3481444,day18
Dinoflagellate-K00641,Dinoflagellate,2019,K00641,7.41995026,day18
Dinoflagellate-K00850,Dinoflagellate,2019,K00850,-3.2073314,day18
Dinoflagellate-K00860,Dinoflagellate,2019,K00860,4.13564099,day18
Dinoflagellate-K00873,Dinoflagellate,2019,K00873,-10.951982,day18
Dinoflagellate-K01074,Dinoflagellate,2019,K01074,3.06025126,day18
Dinoflagellate-K01476,Dinoflagellate,2019,K01476,6.90238059,day18
Dinoflagellate-K01599,Dinoflagellate,2019,K01599,1.637589,day18
Dinoflagellate-K01623,Dinoflagellate,2019,K01623,-1.776115,day18
Dinoflagellate-K01811,Dinoflagellate,2019,K01811,-5.2486829,day18
Dinoflagellate-K01886,Dinoflagellate,2019,K01886,1.89645778,day18
Dinoflagellate-K01951,Dinoflagellate,2019,K01951,7.57776322,day18
Dinoflagellate-K02154,Dinoflagellate,2019,K02154,-4.5971016,day18
Dinoflagellate-K02445,Dinoflagellate,2019,K02445,8.92278673,day18
Dinoflagellate-K02575,Dinoflagellate,2019,K02575,-5.3015521,day18
Dinoflagellate-K02893,Dinoflagellate,2019,K02893,-3.4406919,day18
Dinoflagellate-K02905,Dinoflagellate,2019,K02905,3.73593428,day18
Dinoflagellate-K02909,Dinoflagellate,2019,K02909,7.46522048,day18
Dinoflagellate-K02915,Dinoflagellate,2019,K02915,-1.7897737,day18
Dinoflagellate-K02930,Dinoflagellate,2019,K02930,-2.4154439,day18
Dinoflagellate-K02950,Dinoflagellate,2019,K02950,10.5693851,day18
Dinoflagellate-K02951,Dinoflagellate,2019,K02951,3.66919951,day18
Dinoflagellate-K02974,Dinoflagellate,2019,K02974,9.71591566,day18
Dinoflagellate-K02976,Dinoflagellate,2019,K02976,11.3827502,day18
Dinoflagellate-K02981,Dinoflagellate,2019,K02981,3.93954876,day18
Dinoflagellate-K03247,Dinoflagellate,2019,K03247,3.86000807,day18
Dinoflagellate-K03262,Dinoflagellate,2019,K03262,2.35471415,day18
Dinoflagellate-K03704,Dinoflagellate,2019,K03704,-4.2978048,day18
Dinoflagellate-K03872,Dinoflagellate,2019,K03872,10.1760319,day18
Dinoflagellate-K04460,Dinoflagellate,2019,K04460,6.24498819,day18
Dinoflagellate-K04523,Dinoflagellate,2019,K04523,1.59709346,day18
Dinoflagellate-K05768,Dinoflagellate,2019,K05768,-2.1560851,day18
Dinoflagellate-K06188,Dinoflagellate,2019,K06188,-3.1709141,day18
Dinoflagellate-K06643,Dinoflagellate,2019,K06643,7.02605238,day18
Dinoflagellate-K07342,Dinoflagellate,2019,K07342,3.6800553,day18
Dinoflagellate-K07827,Dinoflagellate,2019,K07827,10.2560344,day18
Dinoflagellate-K08910,Dinoflagellate,2019,K08910,3.59484526,day18
Dinoflagellate-K09481,Dinoflagellate,2019,K09481,4.38306465,day18
Dinoflagellate-K09568,Dinoflagellate,2019,K09568,6.34678148,day18
Dinoflagellate-K09571,Dinoflagellate,2019,K09571,-2.2349174,day18
Dinoflagellate-K09584,Dinoflagellate,2019,K09584,3.38497795,day18
Dinoflagellate-K09673,Dinoflagellate,2019,K09673,-8.3799745,day18
Dinoflagellate-K09946,Dinoflagellate,2019,K09946,3.47027262,day18
Dinoflagellate-K10046,Dinoflagellate,2019,K10046,1.34613982,day18
Dinoflagellate-K10523,Dinoflagellate,2019,K10523,6.59593394,day18
Dinoflagellate-K10597,Dinoflagellate,2019,K10597,6.92925965,day18
Dinoflagellate-K10599,Dinoflagellate,2019,K10599,-4.8592663,day18
Dinoflagellate-K10767,Dinoflagellate,2019,K10767,6.56212043,day18
Dinoflagellate-K10808,Dinoflagellate,2019,K10808,-6.7982875,day18
Dinoflagellate-K10840,Dinoflagellate,2019,K10840,2.00732686,day18
Dinoflagellate-K10881,Dinoflagellate,2019,K10881,6.94505536,day18
Dinoflagellate-K11088,Dinoflagellate,2019,K11088,1.7735407,day18
Dinoflagellate-K11479,Dinoflagellate,2019,K11479,6.8075851,day18
Dinoflagellate-K11835,Dinoflagellate,2019,K11835,-3.3281713,day18
Dinoflagellate-K12826,Dinoflagellate,2019,K12826,5.28334085,day18
Dinoflagellate-K13095,Dinoflagellate,2019,K13095,-9.9635693,day18
Dinoflagellate-K13114,Dinoflagellate,2019,K13114,-6.4537406,day18
Dinoflagellate-K13158,Dinoflagellate,2019,K13158,7.55676837,day18
Dinoflagellate-K13289,Dinoflagellate,2019,K13289,-1.8685433,day18
Dinoflagellate-K13524,Dinoflagellate,2019,K13524,2.8051116,day18
Dinoflagellate-K13717,Dinoflagellate,2019,K13717,3.98669302,day18
Dinoflagellate-K14457,Dinoflagellate,2019,K14457,1.47834171,day18
Dinoflagellate-K14685,Dinoflagellate,2019,K14685,-2.1964714,day18
Dinoflagellate-K15372,Dinoflagellate,2019,K15372,2.7695731,day18
Dinoflagellate-K15414,Dinoflagellate,2019,K15414,8.16488078,day18
Dinoflagellate-K17508,Dinoflagellate,2019,K17508,-6.7304793,day18
Dinoflagellate-K17790,Dinoflagellate,2019,K17790,2.20061211,day18
Dinoflagellate-K18183,Dinoflagellate,2019,K18183,9.35050226,day18
Dinoflagellate-K20471,Dinoflagellate,2019,K20471,6.33205755,day18
Dinoflagellate-K20526,Dinoflagellate,2019,K20526,-3.3913747,day18
Dinoflagellate-K00235,Dinoflagellate,2019,K00235,7.91410949,day20
Dinoflagellate-K00641,Dinoflagellate,2019,K00641,6.9209526,day20
Dinoflagellate-K00873,Dinoflagellate,2019,K00873,-7.866868,day20
Dinoflagellate-K00914,Dinoflagellate,2019,K00914,8.30451004,day20
Dinoflagellate-K01476,Dinoflagellate,2019,K01476,8.71671886,day20
Dinoflagellate-K01811,Dinoflagellate,2019,K01811,-5.8954963,day20
Dinoflagellate-K02445,Dinoflagellate,2019,K02445,8.093821,day20
Dinoflagellate-K02575,Dinoflagellate,2019,K02575,-3.8197859,day20
Dinoflagellate-K02694,Dinoflagellate,2019,K02694,6.00840912,day20
Dinoflagellate-K02882,Dinoflagellate,2019,K02882,3.72032394,day20
Dinoflagellate-K02893,Dinoflagellate,2019,K02893,-2.8600641,day20
Dinoflagellate-K02905,Dinoflagellate,2019,K02905,2.47856058,day20
Dinoflagellate-K02921,Dinoflagellate,2019,K02921,6.64054109,day20
Dinoflagellate-K02950,Dinoflagellate,2019,K02950,9.21722788,day20
Dinoflagellate-K02951,Dinoflagellate,2019,K02951,3.40075011,day20
Dinoflagellate-K02958,Dinoflagellate,2019,K02958,-3.4352841,day20
Dinoflagellate-K02974,Dinoflagellate,2019,K02974,6.73746798,day20
Dinoflagellate-K03247,Dinoflagellate,2019,K03247,3.96700064,day20
Dinoflagellate-K03737,Dinoflagellate,2019,K03737,6.85155571,day20
Dinoflagellate-K03852,Dinoflagellate,2019,K03852,1.92405822,day20
Dinoflagellate-K03872,Dinoflagellate,2019,K03872,8.87704586,day20
Dinoflagellate-K04460,Dinoflagellate,2019,K04460,8.34517322,day20
Dinoflagellate-K05605,Dinoflagellate,2019,K05605,7.82981804,day20
Dinoflagellate-K05768,Dinoflagellate,2019,K05768,-1.7466716,day20
Dinoflagellate-K07342,Dinoflagellate,2019,K07342,2.79994961,day20
Dinoflagellate-K08910,Dinoflagellate,2019,K08910,4.82314092,day20
Dinoflagellate-K09481,Dinoflagellate,2019,K09481,3.77716943,day20
Dinoflagellate-K09568,Dinoflagellate,2019,K09568,6.26629587,day20
Dinoflagellate-K09584,Dinoflagellate,2019,K09584,3.86195551,day20
Dinoflagellate-K09673,Dinoflagellate,2019,K09673,-5.809606,day20
Dinoflagellate-K10396,Dinoflagellate,2019,K10396,8.54106646,day20
Dinoflagellate-K10523,Dinoflagellate,2019,K10523,5.96343627,day20
Dinoflagellate-K10597,Dinoflagellate,2019,K10597,7.07214731,day20
Dinoflagellate-K10599,Dinoflagellate,2019,K10599,4.52987255,day20
Dinoflagellate-K10767,Dinoflagellate,2019,K10767,7.09705762,day20
Dinoflagellate-K10808,Dinoflagellate,2019,K10808,-6.3418775,day20
Dinoflagellate-K10840,Dinoflagellate,2019,K10840,1.80084105,day20
Dinoflagellate-K11088,Dinoflagellate,2019,K11088,1.25788992,day20
Dinoflagellate-K11168,Dinoflagellate,2019,K11168,-3.8465538,day20
Dinoflagellate-K11204,Dinoflagellate,2019,K11204,2.70668048,day20
Dinoflagellate-K11479,Dinoflagellate,2019,K11479,7.34265459,day20
Dinoflagellate-K11835,Dinoflagellate,2019,K11835,-4.5629134,day20
Dinoflagellate-K12850,Dinoflagellate,2019,K12850,9.2230273,day20
Dinoflagellate-K13114,Dinoflagellate,2019,K13114,-4.6292446,day20
Dinoflagellate-K13289,Dinoflagellate,2019,K13289,-3.0894341,day20
Dinoflagellate-K13412,Dinoflagellate,2019,K13412,1.85734252,day20
Dinoflagellate-K13717,Dinoflagellate,2019,K13717,3.33378359,day20
Dinoflagellate-K14379,Dinoflagellate,2019,K14379,5.73932801,day20
Dinoflagellate-K14685,Dinoflagellate,2019,K14685,-4.267031,day20
Dinoflagellate-K15029,Dinoflagellate,2019,K15029,6.16076303,day20
Dinoflagellate-K15083,Dinoflagellate,2019,K15083,7.04623456,day20
Dinoflagellate-K15276,Dinoflagellate,2019,K15276,-0.8087928,day20
Dinoflagellate-K15372,Dinoflagellate,2019,K15372,2.50952762,day20
Dinoflagellate-K16465,Dinoflagellate,2019,K16465,-2.8982213,day20
Dinoflagellate-K17508,Dinoflagellate,2019,K17508,-2.7434744,day20
Dinoflagellate-K17609,Dinoflagellate,2019,K17609,2.63681543,day20
Dinoflagellate-K18183,Dinoflagellate,2019,K18183,7.02388289,day20
Dinoflagellate-K20471,Dinoflagellate,2019,K20471,6.80502043,day20
